Date,Close
1/4/2016,105.35
1/5/2016,102.71
1/6/2016,100.7
1/7/2016,96.45
1/8/2016,96.96
1/11/2016,98.53
1/12/2016,99.96
1/13/2016,97.39
1/14/2016,99.52
1/15/2016,97.13
1/19/2016,96.66
1/20/2016,96.79
1/21/2016,96.3
1/22/2016,101.42
1/25/2016,99.44
1/26/2016,99.99
1/27/2016,93.42
1/28/2016,94.09
1/29/2016,97.34
2/1/2016,96.43
2/2/2016,94.48
2/3/2016,96.35
2/4/2016,96.6
2/5/2016,94.02
2/8/2016,95.01
2/9/2016,94.99
2/10/2016,94.27
2/11/2016,93.7
2/12/2016,93.99
2/16/2016,96.64
2/17/2016,98.12
2/18/2016,96.26
2/19/2016,96.04
2/22/2016,96.88
2/23/2016,94.69
2/24/2016,96.1
2/25/2016,96.76
2/26/2016,96.91
2/29/2016,96.69
3/1/2016,100.53
3/2/2016,100.75
3/3/2016,101.5
3/4/2016,103.01
3/7/2016,101.87
3/8/2016,101.03
3/9/2016,101.12
3/10/2016,101.17
3/11/2016,102.26
3/14/2016,102.52
3/15/2016,104.58
3/16/2016,105.97
3/17/2016,105.8
3/18/2016,105.92
3/21/2016,105.91
3/22/2016,106.72
3/23/2016,106.13
3/24/2016,105.67
3/28/2016,105.19
3/29/2016,107.68
3/30/2016,109.56
3/31/2016,108.99
4/1/2016,109.99
4/4/2016,111.12
4/5/2016,109.81
4/6/2016,110.96
4/7/2016,108.54
4/8/2016,108.66
4/11/2016,109.02
4/12/2016,110.44
4/13/2016,112.04
4/14/2016,112.1
4/15/2016,109.85
4/18/2016,107.48
4/19/2016,106.91
4/20/2016,107.13
4/21/2016,105.97
4/22/2016,105.68
4/25/2016,105.08
4/26/2016,104.35
4/27/2016,97.82
4/28/2016,94.83
4/29/2016,93.74
5/2/2016,93.64
5/3/2016,95.18
5/4/2016,94.19
5/5/2016,93.24
5/6/2016,92.72
5/9/2016,92.79
5/10/2016,93.42
5/11/2016,92.51
5/12/2016,90.34
5/13/2016,90.52
5/16/2016,93.88
5/17/2016,93.49
5/18/2016,94.56
5/19/2016,94.2
5/20/2016,95.22
5/23/2016,96.43
5/24/2016,97.9
5/25/2016,99.62
5/26/2016,100.41
5/27/2016,100.35
5/31/2016,99.86
6/1/2016,98.46
6/2/2016,97.72
6/3/2016,97.92
6/6/2016,98.63
6/7/2016,99.03
6/8/2016,98.94
6/9/2016,99.65
6/10/2016,98.83
6/13/2016,97.34
6/14/2016,97.46
6/15/2016,97.14
6/16/2016,97.55
6/17/2016,95.33
6/20/2016,95.1
6/21/2016,95.91
6/22/2016,95.55
6/23/2016,96.1
6/24/2016,93.4
6/27/2016,92.04
6/28/2016,93.59
6/29/2016,94.4
6/30/2016,95.6
7/1/2016,95.89
7/5/2016,94.99
7/6/2016,95.53
7/7/2016,95.94
7/8/2016,96.68
7/11/2016,96.98
7/12/2016,97.42
7/13/2016,96.87
7/14/2016,98.79
7/15/2016,98.78
7/18/2016,99.83
7/19/2016,99.87
7/20/2016,99.96
7/21/2016,99.43
7/22/2016,98.66
7/25/2016,97.34
7/26/2016,96.67
7/27/2016,102.95
7/28/2016,104.34
7/29/2016,104.21
8/1/2016,106.05
8/2/2016,104.48
8/3/2016,105.79
8/4/2016,105.87
8/5/2016,107.48
8/8/2016,108.37
8/9/2016,108.81
8/10/2016,108
8/11/2016,107.93
8/12/2016,108.18
8/15/2016,109.48
8/16/2016,109.38
8/17/2016,109.22
8/18/2016,109.08
8/19/2016,109.36
8/22/2016,108.51
8/23/2016,108.85
8/24/2016,108.03
8/25/2016,107.57
8/26/2016,106.94
8/29/2016,106.82
8/30/2016,106
8/31/2016,106.1
9/1/2016,106.73
9/2/2016,107.73
9/6/2016,107.7
9/7/2016,108.36
9/8/2016,105.52
9/9/2016,103.13
9/12/2016,105.44
9/13/2016,107.95
9/14/2016,111.77
9/15/2016,115.57
9/16/2016,114.92
9/19/2016,113.58
9/20/2016,113.57
9/21/2016,113.55
9/22/2016,114.62
9/23/2016,112.71
9/26/2016,112.88
9/27/2016,113.09
9/28/2016,113.95
9/29/2016,112.18
9/30/2016,113.05
10/3/2016,112.52
10/4/2016,113
10/5/2016,113.05
10/6/2016,113.89
10/7/2016,114.06
10/10/2016,116.05
10/11/2016,116.3
10/12/2016,117.34
10/13/2016,116.98
10/14/2016,117.63
10/17/2016,117.55
10/18/2016,117.47
10/19/2016,117.12
10/20/2016,117.06
10/21/2016,116.6
10/24/2016,117.65
10/25/2016,118.25
10/26/2016,115.59
10/27/2016,114.48
10/28/2016,113.72
10/31/2016,113.54
11/1/2016,111.49
11/2/2016,111.59
11/3/2016,109.83
11/4/2016,108.84
11/7/2016,110.41
11/8/2016,111.06
11/9/2016,110.88
11/10/2016,107.79
11/11/2016,108.43
11/14/2016,105.71
11/15/2016,107.11
11/16/2016,109.99
11/17/2016,109.95
11/18/2016,110.06
11/21/2016,111.73
11/22/2016,111.8
11/23/2016,111.23
11/25/2016,111.79
11/28/2016,111.57
11/29/2016,111.46
11/30/2016,110.52
12/1/2016,109.49
12/2/2016,109.9
12/5/2016,109.11
12/6/2016,109.95
12/7/2016,111.03
12/8/2016,112.12
12/9/2016,113.95
12/12/2016,113.3
12/13/2016,115.19
12/14/2016,115.19
12/15/2016,115.82
12/16/2016,115.97
12/19/2016,116.64
12/20/2016,116.95
12/21/2016,117.06
12/22/2016,116.29
12/23/2016,116.52
12/27/2016,117.26
12/28/2016,116.76
12/29/2016,116.73
12/30/2016,115.82
